"SSB_Unfished","Totbio_Unfished","SmryBio_Unfished","Recr_Unfished","SSB_Btgt","SPR_Btgt","F_Btgt","TotYield_Btgt","SSB_SPR","F_SPR","TotYield_SPR","SSB_MSY","SPR_MSY","F_MSY","TotYield_MSY","Ret_Catch_MSY","max_grad","depletion","alt_sigma_r","last_yr_early","first_yr_full","last_yr_full","first_yr_recent","max_bias_adj","params_on_bound","params_stuck_low","params_stuck_high","NatM_p_1_Fem_GP_1","L_at_Amin_Fem_GP_1","L_at_Amax_Fem_GP_1","VonBert_K_Fem_GP_1","CV_young_Fem_GP_1","CV_old_Fem_GP_1","Wtlen_1_Fem_GP_1","Wtlen_2_Fem_GP_1","Mat50._Fem_GP_1","Mat_slope_Fem_GP_1","Eggs.kg_inter_Fem_GP_1","Eggs.kg_slope_wt_Fem_GP_1","RecrDist_GP_1","RecrDist_Area_1","RecrDist_month_1","CohortGrowDev","FracFemale_GP_1","SR_LN_R0","SR_BH_steep","SR_sigmaR","SR_regime","SR_autocorr","Late_RecrDev_101","Late_RecrDev_102","Late_RecrDev_103","ForeRecr_104","ForeRecr_105","ForeRecr_106","Impl_err_104","Impl_err_105","Impl_err_106","LnQ_base_Survey_2","Size_DblN_peak_Fishery_1","Size_DblN_top_logit_Fishery_1","Size_DblN_ascend_se_Fishery_1","Size_DblN_descend_se_Fishery_1","Size_DblN_start_logit_Fishery_1","Size_DblN_end_logit_Fishery_1","Size_DblN_peak_Survey_2","Size_DblN_top_logit_Survey_2","Size_DblN_ascend_se_Survey_2","Size_DblN_descend_se_Survey_2","Size_DblN_start_logit_Survey_2","Size_DblN_end_logit_Survey_2","minage.sel.1_Fishery_1","maxage.sel.1_Fishery_1","minage.sel.1_Survey_2","maxage.sel.1_Survey_2","Catch_endyear","NLL_TOTAL","NLL_Catch","NLL_Equil_catch","NLL_Survey","NLL_Length_comp","NLL_Age_comp","NLL_Recruitment","NLL_InitEQ_Regime","NLL_Forecast_Recruitment","NLL_Parm_priors","NLL_Parm_softbounds","NLL_Parm_devs","NLL_Crash_Pen","Curr_Var_Adj_lcomp_flt_1_Fishery","Curr_Var_Adj_agecomp_flt_2_Survey","version","RunTime","model_run","hessian","Niterations","ForeRecr_101","ForeRecr_102","ForeRecr_103","Impl_err_101","Impl_err_102","Impl_err_103","Late_RecrDev_104","Late_RecrDev_105","Late_RecrDev_106","ForeRecr_107","Impl_err_107","iteration","scenario"
4002310000,4032830000,4031440000,133826000,1600920000,0.480769,0.0996448,161910000,1458620000,0.110334,163504000,1458620000,0.45,0.110334,163504000,163504000,0.00984072,0.539690828546514,0.35554208738667,1,26,99,100,0.9,NA,NA,NA,0.2,20.2366,128.689,0.207503,0.0859442,0.115332,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7121,0.65,0.4,0,0,0,0,0,0,0,0,0,0,0,0.271101,52.2288,-3,5.2045,15,-999,999,44.4958,-4,5.66702,14,-99,99,0,25,0,25,222048000,449.24,1.03189e-15,0,-10.6103,331.226,160.436,-31.8128,7.80002e-31,0,0,0.000913409,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0.766666666666667,"cod_EM_103",FALSE,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"h-1"
4002310000,4032830000,4031440000,133826000,1600920000,0.480769,0.0996448,161910000,1458620000,0.110334,163504000,1458620000,0.45,0.110334,163504000,163504000,0.00984066,0.584247597012725,0.35554208738668,1,26,99,100,0.9,NA,NA,NA,0.2,20.2366,128.689,0.207503,0.0859442,0.115332,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7121,0.65,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.271101,52.2288,-3,5.2045,15,-999,999,44.4958,-4,5.66702,14,-99,99,0,25,0,25,127710000,449.24,7.7993e-16,0,-10.6103,331.226,160.436,-31.8128,0,0,0,0.000913409,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0.716666666666667,"cod_EM_init",FALSE,386,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,"h-1"
3878720000,3910290000,3908900000,133859000,1551490000,0.4,0.129795,205228000,1745420000,0.110034,195331000,1745420000,0.45,0.110034,195331000,195331000,NA,0.603954397326953,NA,1,26,99,100,0.9,NA,NA,NA,0.2,20.4942,127.644,0.20398,0.0825782,0.127398,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7123,1,0.4,0,0,0.182027,0.227921,-0.0752738,NA,NA,NA,NA,NA,NA,0.0207711,52.7943,-3,5.27531,15,-999,999,44.2094,-4,5.44709,14,-99,99,0,25,0,25,202148000,407.73,2.01293e-07,0,-6.24502,263.159,179.539,-31.0642,0,2.09076,0,0.000930803,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0,"cod_SR_BH_steep_1_OM",FALSE,1,NA,NA,NA,NA,NA,NA,-0.202731,0.189566,-0.707998,0,0,1,"h-1"
3973490000,4004860000,4003490000,132730000,1589400000,0.480769,0.098331,158711000,1448120000,0.108866,160259000,1448120000,0.45,0.108866,160259000,160259000,0.0297584,0.523615260136555,0.356750541326448,1,26,99,100,0.9,NA,NA,NA,0.2,20.731,130.18,0.198055,0.0791561,0.129241,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7038,0.65,0.4,0,0,0,0,0,0,0,0,0,0,0,0.248423,53.4313,-3,5.33949,15,-999,999,44.5661,-4,5.41414,14,-99,99,0,25,0,25,210650000,453.189,1.00826e-15,0,-21.3731,347.308,158.799,-31.5465,0,0,0,0.000914726,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0.75,"cod_EM_103",FALSE,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"h-1"
3973490000,4004860000,4003480000,132729000,1589400000,0.480769,0.0983298,158709000,1448120000,0.108865,160257000,1448120000,0.45,0.108865,160257000,160257000,0.0936287,0.559055137926609,0.356745182103668,1,26,99,100,0.9,NA,NA,NA,0.2,20.7316,130.182,0.198045,0.0791545,0.129236,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7038,0.65,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248432,53.4321,-3,5.33954,15,-999,999,44.5648,-4,5.41359,14,-99,99,0,25,0,25,127710000,453.189,8.02471e-16,0,-21.3729,347.307,158.802,-31.5477,0,0,0,0.000914805,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0.716666666666667,"cod_EM_init",FALSE,380,0,0,0,0,0,0,NA,NA,NA,NA,NA,2,"h-1"
3878720000,3910290000,3908900000,133859000,1551490000,0.4,0.129795,205228000,1745420000,0.110034,195331000,1745420000,0.45,0.110034,195331000,195331000,NA,0.567560947941589,NA,1,26,99,100,0.9,NA,NA,NA,0.2,20.4942,127.644,0.20398,0.0825782,0.127398,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7123,1,0.4,0,0,0.118377,-0.220965,-0.223952,NA,NA,NA,NA,NA,NA,0.0207711,52.7943,-3,5.27531,15,-999,999,44.2094,-4,5.44709,14,-99,99,0,25,0,25,194374000,407.73,2.03076e-07,0,-6.24502,263.159,179.539,-31.0642,0,2.09076,0,0.000930803,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0,"cod_SR_BH_steep_1_OM",FALSE,1,NA,NA,NA,NA,NA,NA,-0.461777,-0.16108,0.562908,0,0,2,"h-1"
3836210000,3867080000,3865710000,131199000,1534480000,0.480769,0.0994068,154946000,1398080000,0.11007,156479000,1398080000,0.45,0.11007,156479000,156479000,0.0323843,0.46395791679809,0.35779221506857,1,26,99,100,0.9,NA,NA,NA,0.2,20.1588,128.075,0.203731,0.0872522,0.131805,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.6922,0.65,0.4,0,0,0,0,0,0,0,0,0,0,0,0.275063,53.5764,-3,5.37149,15,-999,999,44.4825,-4,5.70725,14,-99,99,0,25,0,25,181353000,438.551,1.03338e-15,0,-14.1835,324.499,159.551,-31.3162,0,0,0,0.000871913,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0.75,"cod_EM_103",FALSE,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"h-1"
3836210000,3867080000,3865710000,131199000,1534480000,0.480769,0.0994068,154946000,1398080000,0.11007,156479000,1398080000,0.45,0.11007,156479000,156479000,0.0323839,0.486858122991181,0.35779221506857,1,26,99,100,0.9,NA,NA,NA,0.2,20.1588,128.075,0.203731,0.0872522,0.131805,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.6922,0.65,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.275063,53.5764,-3,5.37149,15,-999,999,44.4825,-4,5.70725,14,-99,99,0,25,0,25,127710000,438.551,7.98923e-16,0,-14.1835,324.499,159.551,-31.3162,0,0,0,0.000871913,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0.716666666666667,"cod_EM_init",FALSE,380,0,0,0,0,0,0,NA,NA,NA,NA,NA,3,"h-1"
3878720000,3910290000,3908900000,133859000,1551490000,0.4,0.129795,205228000,1745420000,0.110034,195331000,1745420000,0.45,0.110034,195331000,195331000,NA,0.658165580397657,NA,1,26,99,100,0.9,NA,NA,NA,0.2,20.4942,127.644,0.20398,0.0825782,0.127398,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7123,1,0.4,0,0,0.144819,0.220406,-0.421699,NA,NA,NA,NA,NA,NA,0.0207711,52.7943,-3,5.27531,15,-999,999,44.2094,-4,5.44709,14,-99,99,0,25,0,25,172668000,407.73,2.10922e-07,0,-6.24502,263.159,179.539,-31.0642,0,2.09076,0,0.000930803,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0,"cod_SR_BH_steep_1_OM",FALSE,1,NA,NA,NA,NA,NA,NA,0.370319,-0.490331,-0.210003,0,0,3,"h-1"
3797400000,3.825e+09,3823690000,125876000,1518960000,0.480769,0.101618,156549000,1383940000,0.112543,158116000,1383940000,0.45,0.112543,158116000,158116000,0.0593143,0.465039237372939,0.360659538652095,1,26,99,100,0.9,NA,NA,NA,0.2,19.6496,126.35,0.220611,0.0834305,0.136043,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.6508,0.65,0.4,0,0,0,0,0,0,0,0,0,0,0,0.212482,53.6608,-3,5.3633,15,-999,999,48.4302,-4,7.24203,14,-99,99,0,25,0,25,183482000,444.927,1.29635e-15,0,-16.3214,334.697,157.23,-30.6788,0,0,0,0.000669653,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0.783333333333333,"cod_EM_103",FALSE,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"h-1"
