"Seas","SpawnBio","Recruit_0","retainB_1","retainN_1","deadB_1","deadN_1","F_1","SPRratio","rec_dev","raw_rec_dev","year","model_run","iteration","scenario"
1,3833550000,127467000,0,0,0,0,0,0,-0.0165289,-0.0165289,1,"cod_EM_103",1,"h-1"
1,3773380000,141017000,0,0,0,0,0,0,0.112552,0.112552,10,"cod_EM_103",1,"h-1"
1,1786540000,110808000,127710000,20344600,127710000,20344600,0.0706943,0.414298,-0.0131519,-0.0131519,100,"cod_EM_103",1,"h-1"
1,1827040000,112901000,253665000,37806200,253665000,37806200,0.142881,0.62055,0,0,101,"cod_EM_103",1,"h-1"
1,1724020000,111265000,246850000,36559300,246850000,36559300,0.1476,0,-1.11022e-16,0,102,"cod_EM_103",1,"h-1"
1,1624890000,109547000,239104000,36076200,239104000,36076200,0.151712,0,0,0,103,"cod_EM_103",1,"h-1"
1,1532280000,107798000,155084000,23882700,155084000,23882700,0.101663,0,0,0,104,"cod_EM_103",1,"h-1"
1,1525710000,107668000,154688000,24058000,154688000,24058000,0.101663,0,0,0,105,"cod_EM_103",1,"h-1"
1,1523560000,107625000,154603000,24100700,154603000,24100700,0.101663,0,-1.11022e-16,0,106,"cod_EM_103",1,"h-1"
1,3769850000,116004000,0,0,0,0,0,0,-0.0796936,-0.0796936,11,"cod_EM_103",1,"h-1"
1,3760420000,134957000,0,0,0,0,0,0,0.0748603,0.0748603,12,"cod_EM_103",1,"h-1"
1,3756690000,165133000,0,0,0,0,0,0,0.279674,0.279674,13,"cod_EM_103",1,"h-1"
1,3751440000,115454000,0,0,0,0,0,0,-0.0751347,-0.0751347,14,"cod_EM_103",1,"h-1"
1,3763550000,96617600,0,0,0,0,0,0,-0.250809,-0.250809,15,"cod_EM_103",1,"h-1"
1,3788930000,101523000,0,0,0,0,0,0,-0.199323,-0.199323,16,"cod_EM_103",1,"h-1"
1,3795800000,162241000,0,0,0,0,0,0,0.272112,0.272112,17,"cod_EM_103",1,"h-1"
1,3777500000,170253000,0,0,0,0,0,0,0.323851,0.323851,18,"cod_EM_103",1,"h-1"
1,3757380000,139650000,0,0,0,0,0,0,0.129315,0.129315,19,"cod_EM_103",1,"h-1"
1,3833540000,126713000,0,0,0,0,0,0,-0.0195886,-0.0195886,2,"cod_EM_103",1,"h-1"
1,3768500000,100397000,0,0,0,0,0,0,-0.198217,-0.198217,20,"cod_EM_103",1,"h-1"
1,3803650000,145932000,0,0,0,0,0,0,0.177406,0.177406,21,"cod_EM_103",1,"h-1"
1,3833250000,152594000,0,0,0,0,0,0,0.22388,0.22388,22,"cod_EM_103",1,"h-1"
1,3850330000,177914000,0,0,0,0,0,0,0.379684,0.379684,23,"cod_EM_103",1,"h-1"
1,3876350000,211310000,0,0,0,0,0,0,0.553689,0.553689,24,"cod_EM_103",1,"h-1"
1,3920140000,94266300,0,0,0,0,0,0,-0.252125,-0.252125,25,"cod_EM_103",1,"h-1"
1,4001950000,138559000,313240000,39412000,313240000,39412000,0.0803733,0.450458,0.133225,0.133225,26,"cod_EM_103",1,"h-1"
1,3782490000,121189000,297337000,35402300,297337000,35402300,0.0810971,0.453029,0.00677508,0.00677508,27,"cod_EM_103",1,"h-1"
1,3548050000,198192000,280706000,33135100,280706000,33135100,0.0816781,0.45508,0.507619,0.507619,28,"cod_EM_103",1,"h-1"
1,3323820000,148930000,264545000,31448600,264545000,31448600,0.0822431,0.457063,0.23152,0.23152,29,"cod_EM_103",1,"h-1"
1,3832870000,125860000,0,0,0,0,0,0,-0.0234402,-0.0234402,3,"cod_EM_103",1,"h-1"
1,3130830000,139567000,252509000,32601700,252509000,32601700,0.0826835,0.458601,0.175921,0.175921,30,"cod_EM_103",1,"h-1"
1,2989600000,100872000,243741000,32183500,243741000,32183500,0.0833223,0.460822,-0.141245,-0.141245,31,"cod_EM_103",1,"h-1"
1,2867870000,156496000,236189000,31099300,236189000,31099300,0.0840512,0.463338,0.304971,0.304971,32,"cod_EM_103",1,"h-1"
1,2748100000,165794000,227529000,29092700,227529000,29092700,0.0847481,0.465729,0.37016,0.37016,33,"cod_EM_103",1,"h-1"
1,2631630000,123809000,220572000,29492300,220572000,29492300,0.0854359,0.468072,0.0860174,0.0860174,34,"cod_EM_103",1,"h-1"
1,2548130000,56533300,215711000,30190800,215711000,30190800,0.0858197,0.469373,-0.691858,-0.691858,35,"cod_EM_103",1,"h-1"
1,2483750000,180518000,210975000,28857100,210975000,28857100,0.0861792,0.470588,0.474042,0.474042,36,"cod_EM_103",1,"h-1"
1,2396960000,59464800,203134000,25753500,203134000,25753500,0.0867379,0.472467,-0.629416,-0.629416,37,"cod_EM_103",1,"h-1"
1,2303950000,161028000,198280000,27136700,198280000,27136700,0.0873803,0.474616,0.374791,0.374791,38,"cod_EM_103",1,"h-1"
1,2225940000,70926400,191343000,24834000,191343000,24834000,0.0879248,0.476427,-0.437966,-0.437966,39,"cod_EM_103",1,"h-1"
1,3830400000,124894000,0,0,0,0,0,0,-0.0281736,-0.0281736,4,"cod_EM_103",1,"h-1"
1,2141130000,86087000,187276000,25897800,187276000,25897800,0.0888012,0.479323,-0.235916,-0.235916,40,"cod_EM_103",1,"h-1"
1,2072670000,83847400,181328000,23837600,181328000,23837600,0.0893251,0.481043,-0.255107,-0.255107,41,"cod_EM_103",1,"h-1"
1,1983920000,278713000,174744000,22425000,174744000,22425000,0.0901892,0.483861,0.956021,0.956021,42,"cod_EM_103",1,"h-1"
1,1890080000,35024100,167425000,22369600,167425000,22369600,0.0906705,0.485421,-1.10671,-1.10671,43,"cod_EM_103",1,"h-1"
1,1855940000,63326900,169673000,28605500,169673000,28605500,0.0906727,0.485428,-0.510037,-0.510037,44,"cod_EM_103",1,"h-1"
1,1879230000,186941000,168561000,24867600,168561000,24867600,0.0901614,0.483771,0.569427,0.569427,45,"cod_EM_103",1,"h-1"
1,1846170000,109622000,163795000,22376300,163795000,22376300,0.0898763,0.482843,0.0399705,0.0399705,46,"cod_EM_103",1,"h-1"
1,1821490000,67185200,162330000,24964100,162330000,24964100,0.0890709,0.480209,-0.446307,-0.446307,47,"cod_EM_103",1,"h-1"
1,1830980000,103519000,161850000,24432600,161850000,24432600,0.0884712,0.478235,-0.01528,-0.01528,48,"cod_EM_103",1,"h-1"
1,1819330000,124234000,158898000,22160100,158898000,22160100,0.088155,0.47719,0.168702,0.168702,49,"cod_EM_103",1,"h-1"
1,3825780000,123777000,0,0,0,0,0,0,-0.0341168,-0.0341168,5,"cod_EM_103",1,"h-1"
1,1786060000,71947800,155942000,21781000,155942000,21781000,0.0882159,0.477392,-0.372938,-0.372938,50,"cod_EM_103",1,"h-1"
1,1758710000,97088900,155270000,22408900,155270000,22408900,0.0889529,0.479822,-0.069368,-0.069368,51,"cod_EM_103",1,"h-1"
1,1729090000,87438300,152386000,21041900,152386000,21041900,0.0892979,0.480954,-0.169734,-0.169734,52,"cod_EM_103",1,"h-1"
1,1685930000,75426300,149613000,20689400,149613000,20689400,0.0899414,0.483055,-0.310967,-0.310967,53,"cod_EM_103",1,"h-1"
1,1642780000,129697000,146908000,20201900,146908000,20201900,0.0907733,0.485753,0.237917,0.237917,54,"cod_EM_103",1,"h-1"
1,1593150000,98142100,143617000,19644900,143617000,19644900,0.0917142,0.48878,-0.0326038,-0.0326038,55,"cod_EM_103",1,"h-1"
1,1553030000,102765000,142592000,21176900,142592000,21176900,0.0925601,0.491478,0.0204389,0.0204389,56,"cod_EM_103",1,"h-1"
1,1536150000,59153200,142016000,21367900,142016000,21367900,0.0929884,0.492837,-0.528835,-0.528835,57,"cod_EM_103",1,"h-1"
1,1525190000,97260800,141525000,21207000,141525000,21207000,0.0931691,0.493408,-0.0295615,-0.0295615,58,"cod_EM_103",1,"h-1"
1,1507490000,156068000,138581000,19491700,138581000,19491700,0.0929717,0.492784,0.446631,0.446631,59,"cod_EM_103",1,"h-1"
1,3818770000,128811000,0,0,0,0,0,0,0.00887814,0.00887814,6,"cod_EM_103",1,"h-1"
1,1477290000,62828700,135993000,19820500,135993000,19820500,0.0928694,0.49246,-0.457471,-0.457471,60,"cod_EM_103",1,"h-1"
1,1473530000,82407600,138904000,22415300,138904000,22415300,0.0938493,0.495551,-0.185475,-0.185475,61,"cod_EM_103",1,"h-1"
1,1484850000,140345000,140169000,21058400,140169000,21058400,0.0947508,0.49837,0.34475,0.34475,62,"cod_EM_103",1,"h-1"
1,1472290000,93876100,140438000,20669700,140438000,20669700,0.096044,0.502374,-0.0549316,-0.0549316,63,"cod_EM_103",1,"h-1"
1,1467820000,96022900,140802000,22359700,140802000,22359700,0.0956691,0.501218,-0.0314455,-0.0314455,64,"cod_EM_103",1,"h-1"
1,1480910000,122538000,140945000,22008600,140945000,22008600,0.0950544,0.499314,0.209835,0.209835,65,"cod_EM_103",1,"h-1"
1,1487520000,99427400,139967000,21570300,139967000,21570300,0.0940423,0.496156,-0.000437679,-0.000437679,66,"cod_EM_103",1,"h-1"
1,1499220000,112534000,139958000,22140500,139958000,22140500,0.0929117,0.492594,0.121152,0.121152,67,"cod_EM_103",1,"h-1"
1,1518020000,104819000,138947000,21683600,138947000,21683600,0.0911811,0.487068,0.0466018,0.0466018,68,"cod_EM_103",1,"h-1"
1,1536290000,111463000,138035000,21580600,138035000,21580600,0.089375,0.481206,0.104698,0.104698,69,"cod_EM_103",1,"h-1"
1,3809230000,108844000,0,0,0,0,0,0,-0.156331,-0.156331,7,"cod_EM_103",1,"h-1"
